#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 01 22 20 00  80 10.0 13.0    MM    MM    MM  MM 1020.9  23.6    MM  18.6   MM +0.7    MM
2021 01 22 19 50  80 10.0 13.0   2.6     8   6.5  79 1020.8  23.6  23.7  18.9   MM   MM    MM
2021 01 22 19 40  80 10.0 12.0   2.6    MM   6.5  79 1020.8  23.5  23.7  18.9   MM   MM    MM
2021 01 22 19 30  80 10.0 12.0    MM    MM    MM  MM 1020.7  23.6  23.7  18.9   MM   MM    MM
2021 01 22 19 20  80 10.0 12.0    MM    MM    MM  MM 1020.6  23.6  23.7  18.9   MM   MM    MM
2021 01 22 19 10  80  9.0 12.0    MM    MM    MM  MM 1020.5  23.6  23.7  18.9   MM   MM    MM
2021 01 22 19 00  80  9.0 11.0    MM    MM    MM  MM 1020.5  23.6  23.7  18.5   MM +0.6    MM
2021 01 22 18 50  80  9.0 11.0   2.7     8   6.5  75 1020.4  23.7  23.7  18.6   MM   MM    MM
2021 01 22 18 40  80  9.0 11.0   2.7    MM   6.5  75 1020.4  23.6  23.7  18.6   MM   MM    MM
2021 01 22 18 30  80  9.0 12.0    MM    MM    MM  MM 1020.4  23.6  23.7  18.7   MM   MM    MM
2021 01 22 18 20  80  9.0 12.0    MM    MM    MM  MM 1020.3  23.6  23.7  19.2   MM   MM    MM
2021 01 22 18 10  80  9.0 11.0    MM    MM    MM  MM 1020.4  23.6  23.7  19.0   MM   MM    MM
2021 01 22 18 00  80 10.0 12.0    MM    MM    MM  MM 1020.4  23.6  23.7  18.6   MM +1.0    MM
2021 01 22 17 50  80  9.0 11.0   2.5     8   6.3  75 1020.4  23.6  23.7  18.7   MM   MM    MM
2021 01 22 17 40  80  9.0 12.0   2.5    MM   6.3  75 1020.4  23.6  23.7  18.8   MM   MM    MM
2021 01 22 17 30  80  8.0 11.0    MM    MM    MM  MM 1020.3  23.5  23.7  18.8   MM   MM    MM
2021 01 22 17 20  80  9.0 11.0    MM    MM    MM  MM 1020.2  23.5  23.7  18.7   MM   MM    MM
2021 01 22 17 10  80  9.0 11.0    MM    MM    MM  MM 1020.3  23.5  23.7  18.6   MM   MM    MM
2021 01 22 17 00  80  9.0 11.0    MM    MM    MM  MM 1020.2  23.6  23.7  18.4   MM +0.6    MM
2021 01 22 16 50  80  9.0 11.0   2.5     7   6.3  73 1020.2  23.5  23.7  18.2   MM   MM    MM
2021 01 22 16 40  80  9.0 11.0   2.5    MM   6.3  73 1020.1  23.5  23.7  18.0   MM   MM    MM
2021 01 22 16 30  80  8.0 10.0    MM    MM    MM  MM 1020.1  23.5  23.7  18.3   MM   MM    MM
2021 01 22 16 20  80  9.0 11.0    MM    MM    MM  MM 1020.0  23.5  23.7  18.2   MM   MM    MM
2021 01 22 16 10  80  8.0 10.0    MM    MM    MM  MM 1019.9  23.5  23.7  18.4   MM   MM    MM
2021 01 22 16 00  80  8.0 11.0    MM    MM    MM  MM 1019.9  23.5  23.7  18.3   MM -0.0    MM
2021 01 22 15 50  90  8.0 10.0   2.4     8   6.3  84 1019.7  23.6  23.7  18.1   MM   MM    MM
2021 01 22 15 40  90  8.0 10.0    MM    MM    MM  MM 1019.6  23.5  23.7  18.0   MM   MM    MM
2021 01 22 15 30  80  8.0 11.0    MM    MM    MM  MM 1019.5  23.6  23.7  17.7   MM   MM    MM
2021 01 22 15 20  80  9.0 11.0    MM    MM    MM  MM 1019.5  23.6  23.7  17.5   MM   MM    MM
2021 01 22 15 10  80  9.0 11.0    MM    MM    MM  MM 1019.4  23.5  23.7  18.0   MM   MM    MM
2021 01 22 15 00  90  9.0 11.0    MM    MM    MM  MM 1019.4  23.6  23.7  18.4   MM -0.7    MM
2021 01 22 14 50  80  9.0 11.0   2.4     8   6.3  77 1019.4  23.6  23.7  18.5   MM   MM    MM
2021 01 22 14 40  80  9.0 11.0    MM    MM    MM  MM 1019.4  23.6  23.7  18.5   MM   MM    MM
2021 01 22 14 30  80  9.0 11.0    MM    MM    MM  MM 1019.4  23.6  23.8  18.4   MM   MM    MM
2021 01 22 14 20  90  9.0 11.0    MM    MM    MM  MM 1019.5  23.5  23.7  18.9   MM   MM    MM
2021 01 22 14 10  90  9.0 11.0    MM    MM    MM  MM 1019.5  23.6  23.8  18.9   MM   MM    MM
2021 01 22 14 00  90  9.0 10.0    MM    MM    MM  MM 1019.5  23.6  23.8  19.0   MM -1.1    MM
2021 01 22 13 50  90  9.0 11.0   2.3     8   6.2  84 1019.6  23.6  23.8  19.0   MM   MM    MM
2021 01 22 13 40 100  9.0 11.0    MM    MM    MM  MM 1019.7  23.6  23.8  19.1   MM   MM    MM
2021 01 22 13 30  90  9.0 11.0    MM    MM    MM  MM 1019.8  23.6  23.8  19.1   MM   MM    MM
2021 01 22 13 20  90  9.0 12.0    MM    MM    MM  MM 1019.7  23.6  23.8  18.9   MM   MM    MM
2021 01 22 13 10  90  9.0 12.0    MM    MM    MM  MM 1019.7  23.6  23.8  19.2   MM   MM    MM
2021 01 22 13 00  90  9.0 12.0    MM    MM    MM  MM 1019.9  23.6  23.8  19.6   MM -1.3    MM
2021 01 22 12 50  90  9.0 11.0   2.2     8   6.0  66 1019.8  23.7  23.8  19.8   MM   MM    MM
2021 01 22 12 40  90  9.0 12.0    MM    MM    MM  MM 1019.9  23.7  23.8  19.7   MM   MM    MM
2021 01 22 12 30  90  9.0 11.0    MM    MM    MM  MM 1020.0  23.7  23.8  19.5   MM   MM    MM
2021 01 22 12 20  90  9.0 11.0    MM    MM    MM  MM 1020.0  23.7  23.8  19.6   MM   MM    MM
2021 01 22 12 10  90  9.0 11.0    MM    MM    MM  MM 1020.0  23.7  23.8  19.6   MM   MM    MM
2021 01 22 12 00  90  9.0 12.0    MM    MM    MM  MM 1020.0  23.7  23.8  19.5   MM -0.5    MM
2021 01 22 11 50  90 10.0 12.0   2.0     8   5.9  72 1020.0  23.7  23.8  19.7   MM   MM    MM
2021 01 22 11 40  90 10.0 12.0    MM    MM    MM  MM 1020.2  23.8  23.8  19.8   MM   MM    MM
2021 01 22 11 30  90 10.0 12.0    MM    MM    MM  MM 1020.2  23.7  23.8  19.6   MM   MM    MM
2021 01 22 11 20  90 10.0 12.0    MM    MM    MM  MM 1020.3  23.5  23.8  19.7   MM   MM    MM
2021 01 22 11 10  80  6.0 10.0    MM    MM    MM  MM 1020.3  22.5  23.8  20.7   MM   MM    MM
2021 01 22 11 00  70  4.0  6.0    MM    MM    MM  MM 1020.4  22.3  23.8  20.8   MM +0.0    MM
2021 01 22 10 50  90  4.0  5.0   2.2     7   6.2  87 1020.4  22.0  23.8  20.7   MM   MM    MM
2021 01 22 10 40 110  4.0  6.0   2.2    MM   6.2  87 1020.5  21.8  23.8  20.7   MM   MM    MM
2021 01 22 10 30 100  4.0  6.0    MM    MM    MM  MM 1020.6  21.5  23.8  20.5   MM   MM    MM
2021 01 22 10 20  90  5.0  6.0    MM    MM    MM  MM 1020.6  21.4    MM  20.4   MM   MM    MM
2021 01 22 10 10  90  6.0  8.0    MM    MM    MM  MM 1020.9  21.2  23.8  20.3   MM   MM    MM
2021 01 22 10 00 110  9.0 12.0    MM    MM    MM  MM 1021.0  21.1  23.8  20.1   MM +0.7    MM
2021 01 22 09 50 110 10.0 12.0   2.2     7   6.0  86 1021.0  21.3  23.8  20.3   MM   MM    MM
2021 01 22 09 40 100  9.0 12.0    MM    MM    MM  MM 1020.9  21.9  23.8  20.7   MM   MM    MM
2021 01 22 09 30 100  9.0 12.0    MM    MM    MM  MM 1020.9  22.7  23.8  20.7   MM   MM    MM
2021 01 22 09 20 100  9.0 11.0    MM    MM    MM  MM 1020.7  22.6  23.8  20.5   MM   MM    MM
2021 01 22 09 10 100  9.0 11.0    MM    MM    MM  MM 1020.7  22.6  23.8  20.8   MM   MM    MM
2021 01 22 09 00 110 10.0 13.0    MM    MM    MM  MM 1020.7  22.7  23.8  20.9   MM +0.7    MM
2021 01 22 08 50 100 11.0 14.0   2.2     8   6.0  81 1020.7  23.1  23.8  20.8   MM   MM    MM
2021 01 22 08 40 100  9.0 11.0    MM    MM    MM  MM 1020.7  23.3  23.8  20.8   MM   MM    MM
2021 01 22 08 30 100  9.0 11.0    MM    MM    MM  MM 1020.7  23.6    MM  21.0   MM   MM    MM
2021 01 22 08 20  90  8.0 10.0    MM    MM    MM  MM 1020.7  23.6  23.8  20.7   MM   MM    MM
2021 01 22 08 10  90  9.0 11.0    MM    MM    MM  MM 1020.6  23.6    MM  20.8   MM   MM    MM
